IdMarca,brand
1,Bill &amp; Gloria Gaither
2,Original Radio Broadcasts
3,
4,Havard Gimse
5,Richard H. Kirk
6,Creation
7,Wildecker Herzbuben
8,Skeptics
9,DJ Dag
10,Kid Abelha
11,Field Mice
12,Seraina McCarty
13,Steve Barta
14,Helen Merrill
15,Willie Nelson
16,Gang of Four
17,Carmen Piazzini
18,Fats Waller
19,Andrea Bocelli
20,The High Kings
21,Riga Boys Choir
22,Jason Ricci
23,Detlev Jcker
24,Maxis) Ravemachine (1994
25,Monday Michiru
26,Nylon Moon
27,Hortus Musicus
28,Jamiroquai
29,Kathy Kelly
30,Pound & Beers
31,TWO-MIX
32,Christina Stevens
33,Lynn S. Lund
34,Buddy Davis
35,Traci Stein
36,Guy Penrod
37,JJ Lin
38,Tong Li
39,Meyer Joyce
40,Keane/Mccarthy
41,Brownstone
42,Noiseworks
43,Shaquille O'Neal
44,Feeling Zouk
45,Persuader
46,Antonello Venditti
47,Beatles
48,Wolfgang Amadeus Mozart
49,Jean-Paul Imbert
50,Moog Masters
51,The Echoing Green
52,Paul McCartney
53,Yashu
54,Gustav Mahler
55,Philharmonia a Vent
56,R. Kelly
57,Bob Dylan
58,Soul Asylum
59,MALICE MIZER
60,Kevin Roth
61,Yao Beina
62,daolang
63,Underflowers
64,Damien
65,Wendy and Mary
66,2 Eivissa
67,Soraya
68,The Sound of Philadelphia
69,Giovanni Simone Mayr
70,The Small Faces
71,Love Reggae (1996)
72,Marie Fredriksson
73,Matthias Reim
74,Manga
75,Tom Jones
76,Innovation Eins (1998)
77,EMERALD
78,hiro
79,Muus Niels
80,Flash Girls
81,Julian Lennon
82,Aidean
83,Darius Milhaud
84,Traitors
85,Sweep
86,Imagination Development Group
87,Fred Frith
88,Jody Watley
89,Rui Nagai
90,Shikao Suga
91,Various Artists
92,jacky cheung
93,Mac Charles
94,Black Ivory
95,The Choirboys
96,Kenickie
97,Super Furry Animals
98,Big Shots
99,Soon E Mc
100,The Colin Mandel Group
101,Get hip to the Impulse Sound Trip (1998)
102,WOLFGANG AMADEUS MOZART
103,Duke Ellington
104,Megadeth
105,Celtic Waters
106,P. I. TSCHAIKOWSKY
107,The Half Dead Organization
108,PROJECT PITCHFORK
109,Screaming Jets
110,Neil Diamond
111,S Creaters
112,Derek & The Dominos
113,Johnny Alf
114,Vinny Flynn
115,Victor Borge
116,Daniel Kolenda
117,yu gang li
118,Lepa Brena
119,Lupins
120,Popular Poetry Popular Verse
121,The Ecstasy of Saint Theresa
122,The Rolling Stones
123,Police
124,Smokin' Mojo Filters
125,D.B.C.
126,Gnther Christmann
127,Pete Shoemaker
128,Rivers Edge
129,Charley Thweatt
130,Cindy Cain
131,Frank Sinatra
132,David Bowie
133,Francis Poulenc
134,sir John Barbirolli
135,Klingendes Alpenland-Im Zauber der Dolomiten
136,Benjamin Schmid
137,Kim Boyce
138,fierce
139,Charly Lownoise
140,Joyce Handler
141,VARIOUS ARTISTS
142,Gary Moore
143,Clout
144,Strawpeople
145,Ten point Ten
146,Naked Artz
147,Way Out West
148,Scruj Macduhk
149,Jerry Fsp/Barnes
150,Chuck Missler
151,Jesse Dixon
152,Hummingfish
153,Meddaphysical
154,Briarhoppers
155,ZoeS Garden
156,Import-Esp
157,STEVE & SLOW B WESTFIELD
158,Chris Karrer
159,Link Wray
160,George Tandy
161,Runrig
162,Konrad Ragossnig
163,W. A. MOZART
164,Franz Josef Haydn
165,Michelle Crispin
166,John Ranney
167,Various
168,Lindsay COOPER
169,PAPA BUES VIKING JAZZBAND
170,Riccardo Muti
171,Kelly Deal 6000
172,Landmarq
173,Dit Terzi
174,Patricia Coelho
175,Mc Ganns
176,Tipper
177,The Golden Trumpets
178,Orbit Experience
179,Gilbert Artman's Lard Free
180,Violet Burning
181,SQUEEZE
182,ANIMATION(O.S.T.)
183,Matthew Kelly
184,Beyond
185,various artists
186,Johnny Restivo
187,Voodoocult
188,Kome Kome Club
189,Edyta Gorniak
190,Sidney Bechet
191,Omala
192,Johnny Hill
193,De/Vision
194,Peter Torsiello
195,Scott Sudbury
196,Don Lee Van Winkle
197,Mary DesRosiers
198,Chris Hinze Combination
199,Hagen Quartett
200,Randy Brecker
201,The King's Singers
202,Manu
203,The Whitlams
204,Jacques Beraza
205,Tungsten
206,Kaveret
207,Fruit
208,Mikhail Glinka
209,Rockapella
210,Kara's Flowers
211,John Michael Talbot
212,Bill Gaither
213,Gene Krup
214,Marque
215,Tom Astor
216,Tamika Patton
217,Teta Lando
218,Atomic Opera
219,Chick Henderson
220,Marilla Ness
221,Orphanage
222,Paul Gross
223,Johann Sebastian Bach
224,Peek-A-Boo
225,NOYCE TM
226,David Ralston
227,Nu Girls
228,Ian Pooley
229,overlord
230,Craig
231,Conrad Bauer
232,Alice Cooper
233,Alex Reece
