IdUsuario,reviewerID,reviewerName
1,A2Q2ZMM0LZXPCJ,Miss Static X
2,AAKSLZ9IDTEH0,john F&#039;n doe
3,A2B30B0V978VFC,Julie Bradley
4,A1J30DXHL7D2W2,Chris Wright
5,A1MBPPOFS96HN8,Eddy Beck
6,A8TY64ZRGJWFN,Rick Grenier
7,ACZLE69P6FBCR,DaveM
8,A23Z96YF99JQKN,violated by amazon
9,A1XMBMMUOYTXXU,Fred Flintstone
10,A1SS3W3CDWY879,A. Boldin
11,A2DWB9Y1SM0FVU,Ross Reynolds
12,A4XR5K82CHBRO,Kermitthecelt
13,A27A6SIKOW4IYM,Minabug
14,A12PCLN8SDDYYH,James Mancuso
15,A2DDBSQ9M5BEE9,Elizabeth Barrett
16,AEDW261SBASJR,Yazmin
17,A2FYVKQWTW1BZS,J. J. PIERCE
18,A8ADAWEV1MUUH,Fehf
19,A3M0OZQ390JS58,Michael S. Beller
20,AP4TXA8U28DOS,oceanwav
21,AXU6BVI9F4LL,Amazon Customer
22,A2XZUWT2FAW1GP,Daniel N. Wheeler
23,A129A0AHSRTAJK,High School Teacher
24,A29EIP6RTLMR8M,Frank Collard
25,A6JPYV1JL206,Kindle Customer
26,A3B8F3QYSBD4CW,savetheearth
27,A2RFW4CT01YC7E,Dixie
28,ARBP2Z18XZMFA,Paul Johnson
29,A18LMESO7EN5BQ,BJohnson
30,A1UMD7T6SQBLGO,J FAW
31,A2K6RV424JEPHH,Randy from So Cal
32,AFNTSIBDLQ3MZ,KIRT COLLINS
33,A3UCMST4KC83MH,ChelleChee
34,A2G52IPRUG769I,Franklin Boutros
35,A2CKNXIY20YWLN,Rox
36,A3K1ZGGHL4EXU,Judithann
37,AXTY6R7GBPR3P,Doris Lynn Scott
38,A1OBJUT4HYLKR5,Leo
39,A2I80RNC7KJKZC,Evelyn
40,AKKO15ADRB5PR,Kim Sherard
41,AR65NXO4GIA9H,Siagao
42,AECO92UIKW0PD,candy
43,A19CD6KQG33SD,Dixie
44,A2QS8C11B3FE9Y,Rudy C
45,AOR7VND4GXUJ9,M
46,A9P4Q7KX35RS2,L Jones
47,AN1MGVJW3NK69,Chris
48,A13TGM8ID59LLR,J Arthur
49,A2QWK9R0OTAKEI,Nate S.
50,A27INZYDV5GGUR,L. Adams
51,A3CX0DEVP2IY88,mrbill
52,AQN3Q1H197AEP,Kathy
53,A3QH2C6GEO4KZS,Music man
54,A1E2QYWZARL5Z7,Kathryn Langston
55,A1NAE4UMLLZDMS,Tiffany
56,A1HLDU3XP82WYH,Part Time
57,A38WJ5310EGBDH,Thundercles
58,A1CYX6JFGHB71Z,Amazon Customer
59,AA89Y0XAI0LV6,ACOY
60,A3HG617WN14LBH,RAR
61,A1PQJ0DS1HVF2X,Mooshy
62,A16ITYYOPBBP2R,Michael D. MCKinney
63,A4PGV4TMASKF7,JR
64,A2SB7RUPSOZL2P,Cricket
65,A1XY23NZHYDVYA,Jay Underwood
66,A3634ZAZULFPFG,bradxt
67,A3K7NC2E7DZ77D,Tracy C. Wilson
68,AIAIA2L0HC35S,Ashley M.
69,A18WM535OABMCO,Eric Manders
70,A1JCXVD6H8FSRP,greg maxwell
71,A3LD90CFNE347Z,Marty
72,AN4QW0IARLMBS,Music for life !!!!!
73,A3U7I2H2SLL8C8,John S. Bailey
74,A3VCRZJ5TZ01W7,lynn4591
75,A1GOOESENA4TYL,L. Devaney
76,A3G10NPD661EQD,C. Cross
77,A26SPDBPMFIX05,Some Book Person
78,A20B9T7LR97AEW,KATCARVING
79,A2Z273M0KV2S7Q,D.C. Ware
80,A2UZVB4QXRD2KX,Alexis Marnel
81,A3AFJNUFLGGOXP,DavidnAlaska
82,A2XEG1KXY5AP49,Rob C.
83,A2VMTZ7Z03LF49,Joyce Ralston
84,A7DZVS1HANBN1,Debbie DeCillis
85,A1MQE5PXO456OP,knarf
86,A5EYTESWV1F3U,California Roper
87,A26YSEM5W4X5VK,S. Borstelmann
88,A29I05OQIBAI83,Christopher M. Hanley
89,A3KR5BVKKH3OYO,John E. Haynes
90,A3O39R049OZZUZ,Wonka
91,A1JEHPPJ4475HP,W. Watson
92,A1WZHESEKXF09I,Southern Soul Sistah
93,A266VJMMM6RK24,Maedee F. Young
94,A23HWYM5J4YYWQ,Eva
95,A2ROK5MI77R5HE,Western Beach
96,A36R7Z8NIXKFUE,Shopper
97,A3NVWWDF437JBD,Obsessive Cat Disorder
98,A3GUTDWADNSNNP,Brian Brown
99,A9ZL5SGZ8VOCK,stephen
100,A1SARTGBXMKLRR,Danny L. Shirley
101,A1VI10E2Z6APT9,Amazon Customer
102,A3J1PBDRKPE0I5,k-day
103,A3OU0T7O7ILBMW,Erika Rodgers
104,A33DOF8X4YXKA9,Imani G
105,A3UE57S8G2G72Y,Ijeoma
106,A2SL5IW096Z2BL,Eric B. Wolf
107,A28HZATST6PQL,alice m.
108,A1N03X3SU8V2YF,Toni E. Cartwright
109,A31K5G8985ET0Q,V. J. Ashen Studio
110,A2YYDE520MB7ZC,Michael J. Smith
111,A1N12ZF08D4OYL,Helen
112,A28HZTGUEXWSGV,R. Snyder
113,A2YPI831EUQ1ZU,S. Johnson
114,A15DQV18MW1DQT,Damien Kenney
115,AEHD0G4YJU42K,Norma
116,A1L2IZ5P971LBR,Amazon Customer
117,A19OKRG5IF1J5F,PumMom
118,A1UJNRYYZ2OJ5K,Capricorn One
119,AJF4YU4V9OL9J,Larry
120,A20MQI3FLGGFLR,Shay Neil
121,A19S3YZRX597MK,J. Dill
122,A3OTSL449WSX64,Michael E. Mitchell
123,ABLO2KVXX4OCM,K. Tarling
124,A2CFXT4KLPNKP6,Purchasemaster5000
125,A1BM9EDIG3XMNP,Kathleen
126,A3G728TJ3FQNUB,jon
127,A16ZFBX7GLT9DL,Timothee H. Howland
128,A4JNJ84GD5ZMP,Johnathan
129,A3FH778C1VK349,T. Wagner
130,A2TAKFWC5Q0G33,{iv society}
131,ATQ8IKOT6IYBB,Emily
132,A29313797NGT9L,Eddie Wannabee
133,A3FTS24MOOMJJH,D. Nadler
134,AHUHR625LT1D9,Zachary Pinkham
135,A1AOMTP8YKG9OX,shayna
136,A2YSX6CNPBH7N,Patricia Brown
137,A16XTTOOYFWG7U,Early Retiree
138,A2IB3UPIF1EV4S,Susan L. Enderson
139,A1NOVPO9ET9DOF,DeeJ
140,A2JTT6E8TMNUIG,Family of Five
141,A3SPD97HAW1TXW,Nalabud
142,A2FXY2XI6XXEKL,Miss Mona
143,A3LYSQ67HBPTZN,Amazon Customer
144,A1RMNZKA8SZUQ4,Kathleen T. Pfeiffer
145,A1MVXF4DQ1IJOO,Nathan Scott
146,A1G11XIJFNI1FK,Charles H
147,A1AB8UEYYDQ4P1,Garry Morse
148,A3GENA0XFKP34L,Kindle Customer
149,A1H0FH4IBZ2154,Mara Moore
150,A2KW2KWKABNYNO,Flap Jackson
151,A3IYC3S5QR5JP9,Ricky Smith
152,A2SAXLIKTN5H7I,AllStr8Talk
153,A1VGW0RSUZMQ8N,sooz
154,A3MOY1DVJDS4AA,Jencat
155,A2EORAENJ7QF1N,Dwan Sudell O&#039;Bannon
