,PalabraClave,Recomendaciones
0,hair,"[{'NombreProducto': '3 Pack Special - XFusion Keratin Hair Fibers - Gray - Thickens Balding or Thin Hair - 25g', 'PrecioProducto': nan}, {'NombreProducto': 'Joico ICE Hair Spiker Colorz Metallix Bling Bling Gold 1.69 fl. oz. (50 ml)', 'PrecioProducto': 15.01}, {'NombreProducto': 'PERSONNA Toolworx Hair Shaper With Blades TX12570', 'PrecioProducto': nan}, {'NombreProducto': 'BLACK DIAMOND 100% REMI HUMAN HAIR NATURAL PERM 18&quot;(Solid Color)', 'PrecioProducto': 19.42}, {'NombreProducto': 'Sally Hansen for Men Maximum Strength Hair Remover Lotion for Men 6oz.', 'PrecioProducto': 25.0}]"
1,pack,"[{'NombreProducto': 'Coconut Lips- 1 Pack (3 Masks)', 'PrecioProducto': nan}, {'NombreProducto': '3 Pack Special - XFusion Keratin Hair Fibers - Gray - Thickens Balding or Thin Hair - 25g', 'PrecioProducto': nan}, {'NombreProducto': 'The Gillette Series Shave Gel, Deep Clean, 7-Ounce Bottle (Pack of 6)', 'PrecioProducto': nan}, {'NombreProducto': 'Now Foods Vegetable Glycerine - 16 oz. 4 Pack', 'PrecioProducto': 28.97}, {'NombreProducto': 'No Nix Astringent Styptic Pencil, Travel Size - 12 ct, Pack of 3', 'PrecioProducto': nan}]"
2,amp,"[{'NombreProducto': 'Camphor Spirits by Preffered Plus - 1 Oz', 'PrecioProducto': nan}, {'NombreProducto': 'Stars &amp; Stripes Gait Belts BARIATRIC METAL BUCKLE', 'PrecioProducto': 21.99}, {'NombreProducto': 'Liptini - Lip Liqueur Lip &amp; Cheek Stains - Berry Cherry', 'PrecioProducto': nan}, {'NombreProducto': 'Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (250 grams) - Linden', 'PrecioProducto': 10.32}, {'NombreProducto': 'Universal Dora the Explorer Pink Twin Bed Comforter &amp; Sheet Set', 'PrecioProducto': nan}]"
3,set,"[{'NombreProducto': 'Universal Dora the Explorer Pink Twin Bed Comforter &amp; Sheet Set', 'PrecioProducto': nan}, {'NombreProducto': 'Liz Claiborne Collection Perfume 5 Piece Miniature Gift Set for Women, 0.5 Ounce', 'PrecioProducto': nan}, {'NombreProducto': 'Kenzo Amour by Kenzo for Women 3 Piece Set Includes: 3.4 oz Eau de Parfum Spray + 0.16 oz Eau de Parfum Miniature + 2.5 oz Soft Perfumed Body Lotion', 'PrecioProducto': nan}, {'NombreProducto': 'Medium Cloissonne Highly Scented Candles - Set of 7 - Song of India (RExpo)', 'PrecioProducto': nan}, {'NombreProducto': 'Brand New In Box Enigma By Alexandra De Markoff 3 PIECE Gift Set for Women', 'PrecioProducto': nan}]"
4,nail,"[{'NombreProducto': 'Toenail Soft', 'PrecioProducto': nan}, {'NombreProducto': 'Elegant Touch False Nails - Totally Bare - 001 (square)', 'PrecioProducto': nan}, {'NombreProducto': 'Revlon Toenail Clip with Catcher', 'PrecioProducto': nan}, {'NombreProducto': 'Sally Hansen Nailgrowth Miracle 180 Profound Pink Nail Color by Sally Hansen', 'PrecioProducto': nan}, {'NombreProducto': 'Star Nail Starlite UV Gel Pink 1 oz', 'PrecioProducto': 15.55}]"
5,black,"[{'NombreProducto': 'Natural Sensitive Care Black Currant Toothpaste 4oz 4 Ounces', 'PrecioProducto': nan}, {'NombreProducto': 'France Luxe Little Sophisticate Barrette - Nacro Black', 'PrecioProducto': nan}, {'NombreProducto': 'BLACK DIAMOND 100% REMI HUMAN HAIR NATURAL PERM 18&quot;(Solid Color)', 'PrecioProducto': 19.42}, {'NombreProducto': 'Maybelline Sky High Curves Washable Mascara, Brownish Black 402 - 0.16 fl. oz.', 'PrecioProducto': nan}, {'NombreProducto': 'Manhattan 14376 Long Swing Mascara Black by Manhattan', 'PrecioProducto': nan}]"
6,body,"[{'NombreProducto': 'Avalon Natural Products - Lavender Hand &amp; Body Lotion, 12 fl oz lotion', 'PrecioProducto': nan}, {'NombreProducto': 'Earthly Body Round Candle, Cucumber Melon, 6.8-Ounce', 'PrecioProducto': 13.98}, {'NombreProducto': 'Kenzo Amour by Kenzo for Women 3 Piece Set Includes: 3.4 oz Eau de Parfum Spray + 0.16 oz Eau de Parfum Miniature + 2.5 oz Soft Perfumed Body Lotion', 'PrecioProducto': nan}, {'NombreProducto': ' Curve Crush by Liz Claiborne for Women. Body Lotion 6.7-Ounces ', 'PrecioProducto': nan}, {'NombreProducto': 'Bath &amp; Body Works CO Bigelow Variety Travel Gift Box including Mentha Body Wash, Lemon Body Cream, Quince Hand Lotion, Soap Free Hand Cleanser, Mentha Lip Shine, and a $5 Gift Card!', 'PrecioProducto': nan}]"
7,quot,"[{'NombreProducto': 'BLACK DIAMOND 100% REMI HUMAN HAIR NATURAL PERM 18&quot;(Solid Color)', 'PrecioProducto': 19.42}, {'NombreProducto': 'Wigo Illusion Curling Iron 3/4&quot; ****NOT REFURBISHED', 'PrecioProducto': nan}, {'NombreProducto': 'Vidal Sassoon VS129C 2&quot; Hair Straightener Flat Iron', 'PrecioProducto': nan}, {'NombreProducto': ' Splash Bath Essentials Softee Bath Pillow (11.5&quot; X 7.5&quot; X 2.25&quot;)', 'PrecioProducto': 11.99}, {'NombreProducto': 'Merben International Medium Texture Sisal Body Brush with Brown Cord Handle For Dry or Wet Use, 9&quot; Length', 'PrecioProducto': 27.99}]"
8,women,"[{'NombreProducto': 'Pure Poison By Christian Dior For Women. Moisturizing Perfumed Shower 6.8 Oz.', 'PrecioProducto': nan}, {'NombreProducto': 'Liz Claiborne Collection Perfume 5 Piece Miniature Gift Set for Women, 0.5 Ounce', 'PrecioProducto': nan}, {'NombreProducto': 'FETISH By Dana For Women COLOGNE SPRAY 1.7 OZ', 'PrecioProducto': nan}, {'NombreProducto': 'Kenzo Amour by Kenzo for Women 3 Piece Set Includes: 3.4 oz Eau de Parfum Spray + 0.16 oz Eau de Parfum Miniature + 2.5 oz Soft Perfumed Body Lotion', 'PrecioProducto': nan}, {'NombreProducto': 'Biotherm by BIOTHERM For women Nutrisource Levres Nourishing Lip Balm--/0.5OZ(Skincare - Night Care)', 'PrecioProducto': nan}]"
9,oil,"[{'NombreProducto': 'Jojoba Oil 100% Pure 16 oz By HalalEveryDay', 'PrecioProducto': 20.01}, {'NombreProducto': 'Night Queen - Fancy Glass Bottle - Song of India Perfume Oil', 'PrecioProducto': 11.95}, {'NombreProducto': 'Blemish Touch Stick w/Tea Tree Oil, .33 oz.', 'PrecioProducto': nan}, {'NombreProducto': ""Intrinsics 100% Cotton Coil 1200'"", 'PrecioProducto': nan}, {'NombreProducto': 'Biotherm Acnopur Pore Unclogging Purifying Foam (oil free) 150ml/5.07oz', 'PrecioProducto': nan}]"
