,PalabraClave,Recomendaciones
0,the,"[{'NombreProducto': 'Songs of the Kansas Pioneers Home on the Range', 'PrecioProducto': 25.0}, {'NombreProducto': 'Mother Tongue Maternal Madness Month By Month', 'PrecioProducto': nan}, {'NombreProducto': 'Bird Songs of the Rocky Mountain States and Provinces', 'PrecioProducto': nan}, {'NombreProducto': 'Synthetic', 'PrecioProducto': nan}, {'NombreProducto': 'Joy to the World', 'PrecioProducto': 13.17}]"
1,class=,"[{'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': 1.94}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}]"
2,span,"[{'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': 1.94}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}]"
3,a-size-medium,"[{'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': 1.94}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}]"
4,a-color-secondary,"[{'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': 1.94}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}]"
5,a-text-normal,"[{'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': 1.94}, {'NombreProducto': '<span class=""a-size-medium a-color-secondary a-text-normal""', 'PrecioProducto': nan}]"
6,and,"[{'NombreProducto': 'Trains and Boats and Planes [Audio CD] Frank &amp; Walters', 'PrecioProducto': 2.99}, {'NombreProducto': 'Last Band Standing', 'PrecioProducto': nan}, {'NombreProducto': 'Bird Songs of the Rocky Mountain States and Provinces', 'PrecioProducto': nan}, {'NombreProducto': 'Lock And Load', 'PrecioProducto': 4.98}, {'NombreProducto': 'Me And My Monkey On the Moon', 'PrecioProducto': 7.74}]"
7,amp,"[{'NombreProducto': 'Trains and Boats and Planes [Audio CD] Frank &amp; Walters', 'PrecioProducto': 2.99}, {'NombreProducto': 'Live &amp; on Fire in Japan', 'PrecioProducto': 132.8}, {'NombreProducto': 'Kingsmen Collection: Volumes 1&amp;2, Deluxe Gift Set', 'PrecioProducto': 9.98}, {'NombreProducto': 'Sibelius;Symphonies 1 &amp; 7', 'PrecioProducto': 14.99}, {'NombreProducto': 'Caccini: Madrigali  Arie &amp; Can', 'PrecioProducto': 2.19}]"
8,vinyl,"[{'NombreProducto': ""Crucified (1991) / Vinyl single [Vinyl-Single 7'']"", 'PrecioProducto': 8.66}, {'NombreProducto': ""Tell u so (1987, US/CAN) / Vinyl Maxi Single [Vinyl 12'']"", 'PrecioProducto': 4.94}, {'NombreProducto': 'Stay Ugly [LP VINYL]', 'PrecioProducto': 43.97}, {'NombreProducto': 'UNIVERSAL CHILD [LP VINYL]', 'PrecioProducto': nan}, {'NombreProducto': 'ALL IN A NIGHTS WORK [LP VINYL]', 'PrecioProducto': 64.0}]"
9,music,"[{'NombreProducto': 'Old Time Dance Music', 'PrecioProducto': 2.04}, {'NombreProducto': 'A Little Night Music 1996 Royal National Theater Cast', 'PrecioProducto': 75.0}, {'NombreProducto': 'Music Magic', 'PrecioProducto': nan}, {'NombreProducto': 'HERES TO LIFE [AUDIO CD] MUSIC', 'PrecioProducto': 24.24}, {'NombreProducto': 'Sanctissima: A Musical Mass for World Peace', 'PrecioProducto': 12.02}]"
10,quot,"[{'NombreProducto': 'Haydn: String Quartets &quot;Emperor&quot; &quot;Sunrise&quot; &quot;Bird&quot; Melos-quartett Stuttgart Audio CD', 'PrecioProducto': 159.99}, {'NombreProducto': 'Split 3&quot; CD EP', 'PrecioProducto': nan}, {'NombreProducto': ""[4 CDs / 80 SONGS OF THE 60s] &quot;Wow That Was The 60s&quot; Humble Pie, Fleetwood Mac, Herman's Hermits, Canned Heat, The Animals, Rod Stewart, The Beach Boys, &amp; Many Many More..."", 'PrecioProducto': nan}, {'NombreProducto': 'Footloose, Limited Edition Picture Disc ( 12&quot; 33rpm Vinyl Record)', 'PrecioProducto': 99.99}, {'NombreProducto': 'Saint-Saens: Symphony No. 3 &quot;Organ&quot;', 'PrecioProducto': nan}]"
11,for,"[{'NombreProducto': 'Endless Search for Substance', 'PrecioProducto': 149.99}, {'NombreProducto': '3 CD Format By Dave Wang', 'PrecioProducto': nan}, {'NombreProducto': 'Works for Lute: Original &amp; Transcription', 'PrecioProducto': 18.99}, {'NombreProducto': 'Healthy Weight &amp; Body Image: Guided Self-Hypnosis Exercises- For Those Seeking He for Weight Loss and Healthy Eating, as Well as Eating Disorders and Body Dysmorphia', 'PrecioProducto': 17.98}, {'NombreProducto': 'For Lovers Only', 'PrecioProducto': 1.98}]"
12,live,"[{'NombreProducto': 'Live &amp; on Fire in Japan', 'PrecioProducto': 132.8}, {'NombreProducto': 'Live At The Savoy', 'PrecioProducto': nan}, {'NombreProducto': 'Chordiac Arrest:Live and Well', 'PrecioProducto': nan}, {'NombreProducto': 'Live @ Millennium', 'PrecioProducto': 18.99}, {'NombreProducto': 'TaikOz ~ Live at Angel Place', 'PrecioProducto': 0.4}]"
13,songs,"[{'NombreProducto': 'Songs of the Kansas Pioneers Home on the Range', 'PrecioProducto': 25.0}, {'NombreProducto': 'Bird Songs of the Rocky Mountain States and Provinces', 'PrecioProducto': nan}, {'NombreProducto': 'Songs from A History of Britain as featured on the BBC TV Series', 'PrecioProducto': nan}, {'NombreProducto': 'Songs In White Satin', 'PrecioProducto': 3.99}, {'NombreProducto': 'Songs of World War II', 'PrecioProducto': 15.8}]"
14,love,"[{'NombreProducto': 'Sign of Love/Miracle', 'PrecioProducto': 4.7}, {'NombreProducto': 'For Lovers Only', 'PrecioProducto': 1.98}, {'NombreProducto': 'Lovelife', 'PrecioProducto': 1.99}, {'NombreProducto': 'Do What You Love', 'PrecioProducto': 1.0}, {'NombreProducto': 'Opening to Love', 'PrecioProducto': 159.44}]"
15,you,"[{'NombreProducto': 'Without You', 'PrecioProducto': 1.72}, {'NombreProducto': 'Do What You Love', 'PrecioProducto': 1.0}, {'NombreProducto': 'In Your Arms', 'PrecioProducto': 13.93}, {'NombreProducto': 'Belief: Strengthen Belief in Your Abilities to Achieve Your Desires Paraliminal  The Ultimate You Library  Audio Paul R. Scheele', 'PrecioProducto': 21.99}, {'NombreProducto': 'You Saved Me ~ Kim Noblitt and Robert Elkins', 'PrecioProducto': 15.99}]"
16,from,"[{'NombreProducto': 'A Far Cry From Here', 'PrecioProducto': nan}, {'NombreProducto': 'Songs from A History of Britain as featured on the BBC TV Series', 'PrecioProducto': nan}, {'NombreProducto': 'We come from Jamaica [Single-CD]', 'PrecioProducto': 1.74}, {'NombreProducto': 'From the Highlands', 'PrecioProducto': 12.98}, {'NombreProducto': 'Man From Space', 'PrecioProducto': 4.98}]"
17,record,"[{'NombreProducto': 'Lavine Hudson - Between Two Worlds - 10 Records - DIXCD 103', 'PrecioProducto': 1.74}, {'NombreProducto': 'Live And At Its Best (Live Recording)', 'PrecioProducto': 4.92}, {'NombreProducto': 'A Christmas Sing-in: The Robert Shaw Chorale (LP Record VIC-1509)', 'PrecioProducto': 34.75}, {'NombreProducto': 'Mystic - La Ola - Pump Records - 9070057', 'PrecioProducto': 1.94}, {'NombreProducto': 'Ian Hunter Live/Welcome To the Club(Record Album-Double Vinyl)', 'PrecioProducto': 3.99}]"
18,audio,"[{'NombreProducto': 'Trains and Boats and Planes [Audio CD] Frank &amp; Walters', 'PrecioProducto': 2.99}, {'NombreProducto': 'Haydn: String Quartets &quot;Emperor&quot; &quot;Sunrise&quot; &quot;Bird&quot; Melos-quartett Stuttgart Audio CD', 'PrecioProducto': 159.99}, {'NombreProducto': '1977: Sounds of the Seventies Time Life Audio', 'PrecioProducto': 18.5}, {'NombreProducto': 'HERES TO LIFE [AUDIO CD] MUSIC', 'PrecioProducto': 24.24}, {'NombreProducto': ""'Twas The Night Before Christmas Audio Gabriel Byrne"", 'PrecioProducto': 1.46}]"
19,best,"[{'NombreProducto': 'Tamara Gverdtsiteli - Best Of - 2 CD Set', 'PrecioProducto': 18.95}, {'NombreProducto': 'SUPER BEST 2000', 'PrecioProducto': 26.41}, {'NombreProducto': 'The Best of Les Paul and Mary Ford', 'PrecioProducto': 14.95}, {'NombreProducto': 'Andrew E. Best Of - Philippines Tagalog CD', 'PrecioProducto': nan}, {'NombreProducto': 'Live And At Its Best (Live Recording)', 'PrecioProducto': 4.92}]"
20,vol,"[{'NombreProducto': 'Kingsmen Collection: Volumes 1&amp;2, Deluxe Gift Set', 'PrecioProducto': 9.98}, {'NombreProducto': 'Echte Volksmusik A.D.Berg', 'PrecioProducto': 25.36}, {'NombreProducto': 'Yes Minister Volume 4', 'PrecioProducto': 4.11}, {'NombreProducto': 'Volo Az504', 'PrecioProducto': nan}, {'NombreProducto': 'Vol. 1-Groundhogs', 'PrecioProducto': nan}]"
21,with,"[{'NombreProducto': 'Without You', 'PrecioProducto': 1.72}, {'NombreProducto': '20 Years with RAS : 20th Anniversary Sampler', 'PrecioProducto': 3.44}, {'NombreProducto': 'Great Moments With', 'PrecioProducto': 4.98}, {'NombreProducto': 'Whatta man (with En Vogue)', 'PrecioProducto': 1.0}, {'NombreProducto': 'French Kiss With Kyle', 'PrecioProducto': nan}]"
22,hits,"[{'NombreProducto': 'NENA DIE BAND (GREATEST HITS)', 'PrecioProducto': 47.3}, {'NombreProducto': ""doowop's classic hits"", 'PrecioProducto': nan}, {'NombreProducto': 'SONG REVIEW: A GREATEST HITS COLLECTION(reissue)', 'PrecioProducto': 11.3}, {'NombreProducto': '1982 James Bond Greatest Hits Made in France', 'PrecioProducto': nan}, {'NombreProducto': 'Block Buster 20 Original Hits-1979', 'PrecioProducto': 3.1}]"
23,album,"[{'NombreProducto': 'The Hit Albums', 'PrecioProducto': 12.9}, {'NombreProducto': 'Psyche: The Album', 'PrecioProducto': 1.73}, {'NombreProducto': 'The Number One Summer Album', 'PrecioProducto': 7.99}, {'NombreProducto': 'Ian Hunter Live/Welcome To the Club(Record Album-Double Vinyl)', 'PrecioProducto': 3.99}, {'NombreProducto': 'Cantonese Album', 'PrecioProducto': nan}]"
24,single,"[{'NombreProducto': ""Crucified (1991) / Vinyl single [Vinyl-Single 7'']"", 'PrecioProducto': 8.66}, {'NombreProducto': 'Complete Stax Singles', 'PrecioProducto': nan}, {'NombreProducto': 'We come from Jamaica [Single-CD]', 'PrecioProducto': 1.74}, {'NombreProducto': 'I believe in miracles Single', 'PrecioProducto': 1.74}, {'NombreProducto': ""Tell u so (1987, US/CAN) / Vinyl Maxi Single [Vinyl 12'']"", 'PrecioProducto': 4.94}]"
25,piano,"[{'NombreProducto': 'Henze: Quintetto / Brahms: Piano Quintet', 'PrecioProducto': 25.47}, {'NombreProducto': 'Dvorak - Piano Concerto, Symphony No. 8 - Kubelik', 'PrecioProducto': nan}, {'NombreProducto': ""Reader's Digest: Great Romantic Piano Favorites"", 'PrecioProducto': 13.75}, {'NombreProducto': 'Van Cliburn: Piano Favorites', 'PrecioProducto': 73.87}, {'NombreProducto': 'Romantic Piano Classics', 'PrecioProducto': 9.99}]"
26,a-size-large,[]
27,a-spacing-micro,[]
28,/h1,[]
29,set,"[{'NombreProducto': 'Tamara Gverdtsiteli - Best Of - 2 CD Set', 'PrecioProducto': 18.95}, {'NombreProducto': 'Kingsmen Collection: Volumes 1&amp;2, Deluxe Gift Set', 'PrecioProducto': 9.98}, {'NombreProducto': ""The Choir of King's College, Cambridge - 4 CD Set"", 'PrecioProducto': nan}, {'NombreProducto': 'rock of the seventies (3-cd set)', 'PrecioProducto': 2.48}, {'NombreProducto': ""Soul 70's Collection 2-Cd Set, Volume 4"", 'PrecioProducto': 8.71}]"
30,edition,"[{'NombreProducto': 'KUCHIKI NO TOU(regular edition)', 'PrecioProducto': 20.82}, {'NombreProducto': 'Footloose, Limited Edition Picture Disc ( 12&quot; 33rpm Vinyl Record)', 'PrecioProducto': 99.99}, {'NombreProducto': 'ALIVE 2007-SPECIAL EDITION-(2CD)', 'PrecioProducto': 24.99}, {'NombreProducto': 'Rudolph the Red Nosed Reindeer (Rare 1 Track Christmas Xmas Limited Edition)', 'PrecioProducto': 12.0}, {'NombreProducto': 'Elvis Presley "" Are You Lonesome Tonight "" b/w "" Are You Lonesom Tonight "" (LAUGHING VERSION) &amp; "" I Gotta Know "" Numbered 10 Inch Vinyl Record 45 RPM {Limited Collectors Edition"" U.K. Import NEW. NOW OUT OF PRINT!!!', 'PrecioProducto': 54.88}]"
31,volume,"[{'NombreProducto': 'Kingsmen Collection: Volumes 1&amp;2, Deluxe Gift Set', 'PrecioProducto': 9.98}, {'NombreProducto': 'Yes Minister Volume 4', 'PrecioProducto': 4.11}, {'NombreProducto': 'Vintage Music Collectors Series, Volumes 15 &amp; 16', 'PrecioProducto': 1.5}, {'NombreProducto': 'Supertramp Classics Volume 9', 'PrecioProducto': nan}, {'NombreProducto': ""Soul 70's Collection 2-Cd Set, Volume 4"", 'PrecioProducto': 8.71}]"
32,rpm,"[{'NombreProducto': 'Footloose, Limited Edition Picture Disc ( 12&quot; 33rpm Vinyl Record)', 'PrecioProducto': 99.99}, {'NombreProducto': 'Autumn Leaves 45 rpm Ep', 'PrecioProducto': 7.95}, {'NombreProducto': 'Elvis Presley "" Are You Lonesome Tonight "" b/w "" Are You Lonesom Tonight "" (LAUGHING VERSION) &amp; "" I Gotta Know "" Numbered 10 Inch Vinyl Record 45 RPM {Limited Collectors Edition"" U.K. Import NEW. NOW OUT OF PRINT!!!', 'PrecioProducto': 54.88}, {'NombreProducto': 'THE ARCHIES - SUGAR, SUGAR 45 RPM', 'PrecioProducto': 50.4}, {'NombreProducto': 'give me love (give me peace on earth) 45 rpm single', 'PrecioProducto': 6.99}]"
33,collection,"[{'NombreProducto': 'Kingsmen Collection: Volumes 1&amp;2, Deluxe Gift Set', 'PrecioProducto': 9.98}, {'NombreProducto': 'Collection', 'PrecioProducto': 1.74}, {'NombreProducto': 'SONG REVIEW: A GREATEST HITS COLLECTION(reissue)', 'PrecioProducto': 11.3}, {'NombreProducto': 'Stormy Winds Do Blow Maritime Collection', 'PrecioProducto': 9.39}, {'NombreProducto': ""Soul 70's Collection 2-Cd Set, Volume 4"", 'PrecioProducto': 8.71}]"
34,new,"[{'NombreProducto': 'Rbso New Year Concert 2004', 'PrecioProducto': 10.27}, {'NombreProducto': 'The New Millenium', 'PrecioProducto': nan}, {'NombreProducto': 'New Line Cinema Lord of the Rings The Two Towers Frodo &amp; Sam by Applause', 'PrecioProducto': nan}, {'NombreProducto': 'The Glory of a New Day', 'PrecioProducto': nan}, {'NombreProducto': 'Only In New Orleans', 'PrecioProducto': nan}]"
35,time,"[{'NombreProducto': 'Old Time Dance Music', 'PrecioProducto': 2.04}, {'NombreProducto': '1977: Sounds of the Seventies Time Life Audio', 'PrecioProducto': 18.5}, {'NombreProducto': 'DEAR LEADER - GOOD TIMES ARE KILLING ME', 'PrecioProducto': 1.84}, {'NombreProducto': 'Third Time Around', 'PrecioProducto': 4.39}, {'NombreProducto': 'The Legend of Zelda: Ocarina of Time, Hyrule Symphony', 'PrecioProducto': nan}]"
36,your,"[{'NombreProducto': 'In Your Arms', 'PrecioProducto': 13.93}, {'NombreProducto': 'Belief: Strengthen Belief in Your Abilities to Achieve Your Desires Paraliminal  The Ultimate You Library  Audio Paul R. Scheele', 'PrecioProducto': 21.99}, {'NombreProducto': 'Lite Up Your Life', 'PrecioProducto': nan}, {'NombreProducto': 'Music To Your Ears - A Collection Of Holiday Music', 'PrecioProducto': nan}, {'NombreProducto': 'Have Yourself Committed', 'PrecioProducto': nan}]"
37,original,"[{'NombreProducto': 'Works for Lute: Original &amp; Transcription', 'PrecioProducto': 18.99}, {'NombreProducto': 'The Grateful Dead (Original Masters) / Where the Beat Meets the Street ~ Bob Weir [2 CDs]', 'PrecioProducto': nan}, {'NombreProducto': 'Block Buster 20 Original Hits-1979', 'PrecioProducto': 3.1}, {'NombreProducto': 'RUNAWAYS [ORIGINAL CAST] [LP VINYL] [Vinyl] Elizabeth Swados', 'PrecioProducto': 19.99}, {'NombreProducto': 'Rusty in Orchestraville, the Instruments Talk-Rusty Plays (Original 78 set)', 'PrecioProducto': nan}]"
38,christmas,"[{'NombreProducto': ""'Twas The Night Before Christmas Audio Gabriel Byrne"", 'PrecioProducto': 1.46}, {'NombreProducto': 'A Christmas Sing-in: The Robert Shaw Chorale (LP Record VIC-1509)', 'PrecioProducto': 34.75}, {'NombreProducto': ""A Santa Cause 2: It's A Punk Rock Christmas"", 'PrecioProducto': 94.0}, {'NombreProducto': 'A Jazz Christmas From the Metropolitan Museum of Art', 'PrecioProducto': nan}, {'NombreProducto': 'Rudolph the Red Nosed Reindeer (Rare 1 Track Christmas Xmas Limited Edition)', 'PrecioProducto': 12.0}]"
39,symphony,"[{'NombreProducto': ""Bat's Letter/Symphony Dance/Elegy/S"", 'PrecioProducto': 11.1}, {'NombreProducto': 'Dvorak - Piano Concerto, Symphony No. 8 - Kubelik', 'PrecioProducto': nan}, {'NombreProducto': 'The Legend of Zelda: Ocarina of Time, Hyrule Symphony', 'PrecioProducto': nan}, {'NombreProducto': 'The London Symphony Orchestra Presents Images of Love, Volume 4', 'PrecioProducto': 5.79}, {'NombreProducto': 'Saint-Saens: Symphony No. 3 &quot;Organ&quot;', 'PrecioProducto': nan}]"
