,PalabraClave,Recomendaciones
0,dog,"[{'NombreProducto': 'Nutri-Vet Hip &amp; Joint Regular Strength Chewables for Dogs', 'PrecioProducto': 13.63}, {'NombreProducto': 'Dog Life Comfy-Fleece Ball Dog Toy - 6 Inch', 'PrecioProducto': nan}, {'NombreProducto': 'LED Dog Collar By TOPAZ &amp; ABBIE&copy; - USB Charge - LED Dog Collars, USB Rechargable - 3 Colors &amp; 4 Sizes- Halo Light &amp; Flash Settings - Dog Collar - Blue, Green, Pink', 'PrecioProducto': 37.99}, {'NombreProducto': 'PetSafe Wild Thangs! Fox Dog Toy', 'PrecioProducto': nan}, {'NombreProducto': 'Vo-Toys Anti-Jump Harness For Dogs', 'PrecioProducto': nan}]"
1,pet,"[{'NombreProducto': ""Nature's Miracle Best Behavior Pet Training Aid - 16 oz"", 'PrecioProducto': nan}, {'NombreProducto': 'PetSafe Wild Thangs! Fox Dog Toy', 'PrecioProducto': nan}, {'NombreProducto': 'Ethical Pets Rainbow Crinkler Tennis Ball Tug, 13-Inch', 'PrecioProducto': nan}, {'NombreProducto': 'Coastal Pet Products DCP510GRN Cotton Web Collar Lead for Pets, 5/8 by 10-Feet, Green', 'PrecioProducto': 1.96}, {'NombreProducto': 'Loving Pets Premium Natural Compressed Rawhide Stick Dog Chew', 'PrecioProducto': 7.99}]"
2,quot,"[{'NombreProducto': 'Eco Scaper Hygrophila Corymbosa - 12&quot; (30 Cm)', 'PrecioProducto': nan}, {'NombreProducto': 'Deluxe Kennel Replacement Door - Medium 14 1/4&quot; x 13 1/2&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'Ultimate Dog Bed for Large Dogs - 34&quot; X 54&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'Ideal Ruff Weather Pet Door Extra Large 9.75&quot; x 17&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'Casual Kitty &quot;Mouse Patrol&quot; Humor Tee (Cat Shirt) - Small', 'PrecioProducto': 9.95}]"
3,cat,"[{'NombreProducto': 'Wellness Complete Salmon, Salmon Meal &amp; Deboned Turkey Dry Cat Food - 5 lbs 14 oz (2.7 Kg)', 'PrecioProducto': nan}, {'NombreProducto': 'Evolution Cat Food 5lb Bag', 'PrecioProducto': 24.5}, {'NombreProducto': 'Ethical 5-Inch Cat-Paw Print Stonware Dish', 'PrecioProducto': nan}, {'NombreProducto': 'Bamboo Cat Styptic Powder, 2 Pack (Colors Vary)', 'PrecioProducto': nan}, {'NombreProducto': 'Hartz Twirl &amp; Whirl Cat Toy', 'PrecioProducto': nan}]"
4,amp,"[{'NombreProducto': 'Nutri-Vet Hip &amp; Joint Regular Strength Chewables for Dogs', 'PrecioProducto': 13.63}, {'NombreProducto': 'LED Dog Collar By TOPAZ &amp; ABBIE&copy; - USB Charge - LED Dog Collars, USB Rechargable - 3 Colors &amp; 4 Sizes- Halo Light &amp; Flash Settings - Dog Collar - Blue, Green, Pink', 'PrecioProducto': 37.99}, {'NombreProducto': 'Wellness Complete Salmon, Salmon Meal &amp; Deboned Turkey Dry Cat Food - 5 lbs 14 oz (2.7 Kg)', 'PrecioProducto': nan}, {'NombreProducto': 'K&amp;H Pet Products Lectro-Temp Control', 'PrecioProducto': 24.99}, {'NombreProducto': 'Calm &amp; Relax by Carefree Pet', 'PrecioProducto': 19.25}]"
5,dogs,"[{'NombreProducto': 'Nutri-Vet Hip &amp; Joint Regular Strength Chewables for Dogs', 'PrecioProducto': 13.63}, {'NombreProducto': 'Vo-Toys Anti-Jump Harness For Dogs', 'PrecioProducto': nan}, {'NombreProducto': 'G-Whiz Lawn Neutralizer for Dogs 8oz', 'PrecioProducto': nan}, {'NombreProducto': 'Hands Free Dog Leash with Waist Wearing - Double Handle Reflective Bungee Leash with Adjustable Waist Belt &ndash; Perfect for Running, Jogging or Walking - Ideal for Medium to Large Dogs', 'PrecioProducto': 1.96}, {'NombreProducto': ""SynergyLabs Richard's Organics Incredible Skin Spray For Dogs, 16 oz"", 'PrecioProducto': nan}]"
6,collar,"[{'NombreProducto': 'LED Dog Collar By TOPAZ &amp; ABBIE&copy; - USB Charge - LED Dog Collars, USB Rechargable - 3 Colors &amp; 4 Sizes- Halo Light &amp; Flash Settings - Dog Collar - Blue, Green, Pink', 'PrecioProducto': 37.99}, {'NombreProducto': 'Coastal Pet Products DCP510GRN Cotton Web Collar Lead for Pets, 5/8 by 10-Feet, Green', 'PrecioProducto': 1.96}, {'NombreProducto': 'Coastal Pet Circle T Nickel Buckle Latigo Leather Round Dog Collar, Handcrafted', 'PrecioProducto': nan}, {'NombreProducto': 'Gentle Leader Headcollar (Black, Small)', 'PrecioProducto': nan}, {'NombreProducto': 'Petmate Reflective Paw Breakaway Collar, 3/8-Inch, Red', 'PrecioProducto': 7.36}]"
7,small,"[{'NombreProducto': 'Zoo Med Laboratories SZMBU16 Natural Bushy Cannabis, Small', 'PrecioProducto': 6.6}, {'NombreProducto': 'Pet Lookout Car Booster Seat Small up to 20 lbs.', 'PrecioProducto': nan}, {'NombreProducto': 'Male Doggy Wrap Black - Small', 'PrecioProducto': nan}, {'NombreProducto': 'Gentle Leader Headcollar (Black, Small)', 'PrecioProducto': nan}, {'NombreProducto': 'Doggles X-Small K9 Optix Sunglasses for Dogs, Silver Frame, Pink Lens', 'PrecioProducto': nan}]"
8,large,"[{'NombreProducto': 'Grooming Table with Arm Large - model 125', 'PrecioProducto': nan}, {'NombreProducto': 'Hands Free Dog Leash with Waist Wearing - Double Handle Reflective Bungee Leash with Adjustable Waist Belt &ndash; Perfect for Running, Jogging or Walking - Ideal for Medium to Large Dogs', 'PrecioProducto': 1.96}, {'NombreProducto': 'Polly s Pet Products 519-50393 Pollys Pet Products Manu Mineral Bird Perch Size XLarge 12in', 'PrecioProducto': nan}, {'NombreProducto': 'Hikari 11-Pound Spirulina Floating Pellets for Pets, Large', 'PrecioProducto': 111.99}, {'NombreProducto': 'Treatstik Large Meal and Treat Dispensing Dog Toy', 'PrecioProducto': 34.95}]"
9,toy,"[{'NombreProducto': 'Dog Life Comfy-Fleece Ball Dog Toy - 6 Inch', 'PrecioProducto': nan}, {'NombreProducto': 'PetSafe Wild Thangs! Fox Dog Toy', 'PrecioProducto': nan}, {'NombreProducto': 'Vo-Toys Anti-Jump Harness For Dogs', 'PrecioProducto': nan}, {'NombreProducto': 'Treatstik Large Meal and Treat Dispensing Dog Toy', 'PrecioProducto': 34.95}, {'NombreProducto': 'Hartz Twirl &amp; Whirl Cat Toy', 'PrecioProducto': nan}]"
10,food,"[{'NombreProducto': 'Wellness Complete Salmon, Salmon Meal &amp; Deboned Turkey Dry Cat Food - 5 lbs 14 oz (2.7 Kg)', 'PrecioProducto': nan}, {'NombreProducto': 'Evolution Cat Food 5lb Bag', 'PrecioProducto': 24.5}, {'NombreProducto': 'Solid Gold Blended Tuna Gourmet Canned Food for Cats', 'PrecioProducto': nan}, {'NombreProducto': 'Nutrisource Large Breed Puppy Chicken &amp;Amp; Rice Formula Dry Dog Food, 6.6-Lb Bag', 'PrecioProducto': 17.89}, {'NombreProducto': 'Lyric Delite High Protein No Waste Mix Bird Food - 20 lb. bag', 'PrecioProducto': 39.99}]"
11,medium,"[{'NombreProducto': 'Hands Free Dog Leash with Waist Wearing - Double Handle Reflective Bungee Leash with Adjustable Waist Belt &ndash; Perfect for Running, Jogging or Walking - Ideal for Medium to Large Dogs', 'PrecioProducto': 1.96}, {'NombreProducto': 'Pooch Pants - Medium', 'PrecioProducto': nan}, {'NombreProducto': 'Deluxe Kennel Replacement Door - Medium 14 1/4&quot; x 13 1/2&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'Richell Pet Cottage, Medium, Tan/Brown', 'PrecioProducto': nan}, {'NombreProducto': 'Breath-A-Licious Medium 7.86 Ounces (6 Bones)', 'PrecioProducto': nan}]"
12,aquarium,"[{'NombreProducto': 'All Glass Aquarium AAG21520 Fluorescent Deluxe Hood, 20-Inch', 'PrecioProducto': nan}, {'NombreProducto': 'Bubble-Wall&Atilde;&sbquo;&Acirc; Bendable Air Diffusers for Aquariums by Penn-Plax', 'PrecioProducto': 8.99}, {'NombreProducto': 'Eclipse 12 Gallon Acrylic Aquarium System', 'PrecioProducto': nan}, {'NombreProducto': 'Sera USA Siporax Aquarium Filter Media', 'PrecioProducto': 19.88}, {'NombreProducto': 'Marina Aquarium Algae Remover Pad', 'PrecioProducto': 4.79}]"
13,pack,"[{'NombreProducto': 'Fresh Kitty Jumbo Litter Box Liners - Double Saver Pack', 'PrecioProducto': nan}, {'NombreProducto': 'Univen LMR200 Waste Receptacles, 60 pack, fits Littermaid Litterbox', 'PrecioProducto': 59.74}, {'NombreProducto': 'Bamboo Cat Styptic Powder, 2 Pack (Colors Vary)', 'PrecioProducto': nan}, {'NombreProducto': 'Reef One Biorb Heater Pack', 'PrecioProducto': nan}, {'NombreProducto': 'Greenies 3 PACK REGULAR (36 BONES)', 'PrecioProducto': 49.95}]"
