,PalabraClave,Recomendaciones
0,quot,"[{'NombreProducto': 'Animal Alley 11&quot; Cocker Spaniel: White/Brown', 'PrecioProducto': nan}, {'NombreProducto': 'Star Wars Episode I Sio Bibble 3.75&quot; Action Figure with CommTech Chip', 'PrecioProducto': 17.39}, {'NombreProducto': 'Plastruct T-3 Tee,3/32&quot; (8)', 'PrecioProducto': 7.84}, {'NombreProducto': 'Videonow Personal Video Disc: Winx Club - &quot;Miss Magix&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'Winnie the Pooh 8&quot; Pooh As Doctor Plush', 'PrecioProducto': nan}]"
1,set,"[{'NombreProducto': 'Star Wars Power of the Jed Amanaman with Salacious Crumb Action Figure Set', 'PrecioProducto': 14.99}, {'NombreProducto': 'None Marvel Heroes Chess Set', 'PrecioProducto': nan}, {'NombreProducto': 'Teen Titans T-Robo Set', 'PrecioProducto': nan}, {'NombreProducto': 'Traxxas 2035 5-Channel 7.195 MHz Am Crystal Set, Green', 'PrecioProducto': 12.0}, {'NombreProducto': 'Traxxas 2577 Hex Drive Button Head Machine Screws, 3x10mm (set of 6)', 'PrecioProducto': 5.2}]"
2,amp,"[{'NombreProducto': 'Brio 32801 Bob the Builder: Scoop &amp; Bob', 'PrecioProducto': nan}, {'NombreProducto': 'Funrise Tonka Lights &amp; Sound Rescue Helicopter', 'PrecioProducto': nan}, {'NombreProducto': ""Buffy The Vampire Slayer/Angel AFX Exclusive 'Just Rewards' Spike Action Figure"", 'PrecioProducto': 23.99}, {'NombreProducto': 'Douglas Plush - MERMAID (Pink &amp; Purple- 16 inch)', 'PrecioProducto': nan}, {'NombreProducto': 'Stigmata Magic Trick by Wayne Houchin :: Cause Any Thought to Appear on Your Arm &gt;&gt; Simple &amp; Effective by Ellusionist', 'PrecioProducto': nan}]"
3,figure,"[{'NombreProducto': 'Star Wars Power of the Jed Amanaman with Salacious Crumb Action Figure Set', 'PrecioProducto': 14.99}, {'NombreProducto': 'Star Wars Episode I Sio Bibble 3.75&quot; Action Figure with CommTech Chip', 'PrecioProducto': 17.39}, {'NombreProducto': 'Distributoys Army of Darkness Pit Witch and Deadite Centurion Action Figures', 'PrecioProducto': 34.99}, {'NombreProducto': 'WWE Classic Superstars : Vader Figure', 'PrecioProducto': 96.49}, {'NombreProducto': 'Tamiya 300036305&nbsp;1: 16&nbsp;WWII Figure Feldmarschall ROMMEL Africa', 'PrecioProducto': 11.51}]"
4,plush,"[{'NombreProducto': 'Pokemon Plush Beanie Baby Meowth - # 52', 'PrecioProducto': nan}, {'NombreProducto': 'The Simpsons Homer Plush', 'PrecioProducto': nan}, {'NombreProducto': 'Winnie the Pooh 8&quot; Pooh As Doctor Plush', 'PrecioProducto': nan}, {'NombreProducto': 'Charlie Brown Stuffed Plush Bean Bag Toy', 'PrecioProducto': 10.46}, {'NombreProducto': 'Disney Bumble Bee Pooh 12&quot; Plush Bear', 'PrecioProducto': 36.33}]"
5,toy,"[{'NombreProducto': 'The Simpsons: Bowl - A- Rama with Pin Pal Apu [Toy]', 'PrecioProducto': 34.99}, {'NombreProducto': 'Wonderworld Miniature Wooden Fire Engine Vehicle Push Toy -  Movable Ladder, Driver Included, Real Rubber Tires', 'PrecioProducto': nan}, {'NombreProducto': 'Distributoys Army of Darkness Pit Witch and Deadite Centurion Action Figures', 'PrecioProducto': 34.99}, {'NombreProducto': 'Toy Vault - Call of Cthulhu - buste Cthulhu 16 cm', 'PrecioProducto': nan}, {'NombreProducto': 'Charlie Brown Stuffed Plush Bean Bag Toy', 'PrecioProducto': 10.46}]"
6,doll,"[{'NombreProducto': 'Barbie Exotic Beauty Collector Doll', 'PrecioProducto': 38.72}, {'NombreProducto': 'Victor 12&quot; Fashion Doll', 'PrecioProducto': nan}, {'NombreProducto': 'Bratz Babyz Boyz: Cameron Doll', 'PrecioProducto': nan}, {'NombreProducto': ""&quot;Molly's Route 66 Accessories&quot; for 18&quot; American Girl Doll"", 'PrecioProducto': 66.95}, {'NombreProducto': 'ZAPF CREATIONS TALKING CHOU CHOU DOLL SLING CARRIER', 'PrecioProducto': nan}]"
7,pack,"[{'NombreProducto': 'WWE Classic Superstars 2 Pack of Figures Stone Cold and &quot;Rowdy&quot; Roddy Piper', 'PrecioProducto': 69.99}, {'NombreProducto': '5-Car Gift Pack:Hot Wheels: Crazy Croc', 'PrecioProducto': nan}, {'NombreProducto': 'Dora the Explorer Splashtime Adventure Pack with Boots', 'PrecioProducto': nan}, {'NombreProducto': 'Star Wars Pocketmodel Trading Card Game Exclusive Imperial Star Destroyer Power-Up Pack by Webkinz', 'PrecioProducto': 8.95}, {'NombreProducto': 'Venom 10C 2S 1600mAh 7.4 Flat Receiver Pack LiPo Battery', 'PrecioProducto': nan}]"
8,puzzle,"[{'NombreProducto': 'B Dazzle Woodpeckers Scramble Squares 9 Piece Puzzle', 'PrecioProducto': 12.99}, {'NombreProducto': ""Evening at Grandma's 500 pc Jigsaw Puzzle"", 'PrecioProducto': 14.78}, {'NombreProducto': 'Present Time Wanted Puzzle Photo Frame, Silver', 'PrecioProducto': nan}, {'NombreProducto': 'Intellectual three-dimensional puzzle puzzle cast cast loop (japan import)', 'PrecioProducto': 15.94}, {'NombreProducto': 'John N. Hansen Educa: Victoria Frances Puzzle 27 Cubes', 'PrecioProducto': nan}]"
9,party,"[{'NombreProducto': 'Pot-O-Gold Centerpiece Party Accessory (1 count) (1/Pkg)', 'PrecioProducto': nan}, {'NombreProducto': ""BLUE'S CLUES Party Table Cover BLUE, PERIWINKLE &amp; MAGENTA 54&quot; x 89&quot; Long (Dated 2000)"", 'PrecioProducto': nan}, {'NombreProducto': 'Camouflage Round Plates, 7&quot;, Party Favor', 'PrecioProducto': 7.24}, {'NombreProducto': 'Tara Toys Party Destination 208795 Uno Mini Games', 'PrecioProducto': 8.02}, {'NombreProducto': 'Princess and the Frog Party Pack Supplies for 16 Guests', 'PrecioProducto': nan}]"
